,name,adderss,sido,gungu
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동),충청북도,청주시흥덕구
1,가남점,경기도 여주군 가남면 태평중앙1길 8-6,경기도,여주군
2,가래비점,경기도 양주시 광적면 가납리 가래비길 24,경기도,양주시
3,가마점,충청북도 청주시서원구 남이면 가마리 397,충청북도,청주시서원구
4,가수원점,대전광역시 서구 가수원동 774-18,대전광역시,서구
5,가양동점,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",서울특별시,강서구
6,가오점,대전광역시 동구 가오동 533,대전광역시,동구
7,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,경기도,남양주시
8,가장점,대전광역시 서구 가장동 40-40,대전광역시,서구
9,가정지구1점,인천광역시 서구 봉오재2로 37 104호,인천광역시,서구
10,가좌3점,인천광역시 서구 가석로156번길 23-1,인천광역시,서구
11,가평역전점,경기도 가평군 가평읍 굴다리길 13,경기도,가평군
12,가평점,경기도 가평군 가평읍 가화로 125-1,경기도,가평군
13,가평현리점,"경기도 가평군 하면 현창로38번길, 6-1",경기도,가평군
14,각화주공점,광주광역시 북구 각화동 202번지 주공@상가 107호,광주광역시,북구
15,간현점,강원도 원주시 지정면 간현로 188,강원도,원주시
16,갈곶원동점,경기도 오산시 갈곶동 126-23,경기도,오산시
17,갈마점,대전광역시 서구 갈마로 60(갈마동),대전광역시,서구
18,갈산점,인천광역시 부평구 갈산동 364-4,인천광역시,부평구
19,갈산점(이천),"경기도 이천시 갈산로 81(갈산동, 102)",경기도,이천시
